NAME,PATTERN,VALUE
CSF_LW,"SA_2,H8",332
CSF_DownMinProvision,"SA_2,H8",332
CSF_LW,"SA_2,H9",332
CSF_DownMinProvision,"SA_2,H9",332
CSF_LW,"SA_2,H10",332
CSF_DownMinProvision,"SA_2,H10",332
CSF_LW,"SA_2,H11",218
CSF_DownMinProvision,"SA_2,H11",218
CSF_LW,"SA_2,H12",218
CSF_DownMinProvision,"SA_2,H12",218
CSF_LW,"SA_2,H13",218
CSF_DownMinProvision,"SA_2,H13",218
CSF_LW,"SA_2,H14",218
CSF_DownMinProvision,"SA_2,H14",218
CSF_LW,"SA_2,H15",218
CSF_DownMinProvision,"SA_2,H15",218
CSF_LW,"SA_2,H16",218
CSF_DownMinProvision,"SA_2,H16",218
CSF_LW,"SA_2,H17",222
CSF_DownMinProvision,"SA_2,H17",222
CSF_LW,"SA_2,H18",222
CSF_DownMinProvision,"SA_2,H18",222
CSF_LW,"SA_2,H19",222
CSF_DownMinProvision,"SA_2,H19",222
CSF_LW,"SA_2,H20",161
CSF_DownMinProvision,"SA_2,H20",161
CSF_LW,"SA_2,H21",161
CSF_DownMinProvision,"SA_2,H21",161
CSF_LW,"SA_2,H22",161
CSF_DownMinProvision,"SA_2,H22",161
CSF_LW,"SA_2,H23",162
CSF_DownMinProvision,"SA_2,H23",162
CSF_LW,"SA_2,H24",162
CSF_DownMinProvision,"SA_2,H24",162
CSF_LW,"TR_2,H1",163
CSF_DownMinProvision,"TR_2,H1",163
CSF_LW,"TR_2,H2",163
CSF_DownMinProvision,"TR_2,H2",163
CSF_LW,"TR_2,H3",158
CSF_DownMinProvision,"TR_2,H3",158
CSF_LW,"TR_2,H4",158
CSF_DownMinProvision,"TR_2,H4",158
CSF_LW,"TR_2,H5",158
CSF_DownMinProvision,"TR_2,H5",158
CSF_LW,"TR_2,H6",158
CSF_DownMinProvision,"TR_2,H6",158
CSF_LW,"TR_2,H7",158
CSF_DownMinProvision,"TR_2,H7",158
CSF_LW,"TR_2,H8",333
CSF_DownMinProvision,"TR_2,H8",333
CSF_LW,"TR_2,H9",333
CSF_DownMinProvision,"TR_2,H9",333
CSF_LW,"TR_2,H10",333
CSF_DownMinProvision,"TR_2,H10",333
CSF_LW,"TR_2,H11",215
CSF_DownMinProvision,"TR_2,H11",215
CSF_LW,"TR_2,H12",215
CSF_DownMinProvision,"TR_2,H12",215
CSF_LW,"TR_2,H13",215
CSF_DownMinProvision,"TR_2,H13",215
CSF_LW,"TR_2,H14",215
CSF_DownMinProvision,"TR_2,H14",215
CSF_LW,"TR_2,H15",215
CSF_DownMinProvision,"TR_2,H15",215
CSF_LW,"TR_2,H16",215
CSF_DownMinProvision,"TR_2,H16",215
CSF_LW,"TR_2,H17",219
CSF_DownMinProvision,"TR_2,H17",219
