NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
MEJILLONES_3-TG+TV_GN_B,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GN_C,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GN_D,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GNL_A,2026,5,9,1,1,91.01
MEJILLONES_3-TG+TV_GNL_B,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GNL_C,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GNL_D,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GNL_E,2026,5,9,1,1,0
MEJILLONES_3-TG+TV_GNL_INF,2026,5,9,1,1,0
IE_MEJILLONES,2026,5,9,1,1,0
ANDINA,2026,5,9,1,1,160.4
HORNITOS,2026,5,9,1,1,0
ATA-TG1A_DIE,2026,5,9,1,1,0
ATA-TG1A_GNL_A,2026,5,9,1,1,0
ATA-TG1A_GNL_B,2026,5,9,1,1,0
ATA-TG1A_GNL_C,2026,5,9,1,1,0
ATA-TG1A_GNL_D,2026,5,9,1,1,0
ATA-TG1A_GNL_E,2026,5,9,1,1,0
ATA-TG1A_GN_A,2026,5,9,1,1,0
ATA-TG1A_GN_B,2026,5,9,1,1,0
ATA-TG1A_GN_C,2026,5,9,1,1,0
ATA-TG1A_GN_D,2026,5,9,1,1,0
ATA-TG1A_GNL_INF,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_DIE,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GNL_A,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GNL_B,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GNL_C,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GNL_D,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GNL_E,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GN_A,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GN_B,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GN_C,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GN_D,2026,5,9,1,1,0
ATA-TG1A+0.5TV1C_GNL_INF,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_DIE,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GNL_A,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GNL_B,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GNL_C,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GNL_D,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GNL_E,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GN_A,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GN_B,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GN_C,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GN_D,2026,5,9,1,1,0
ATA-TG1A+TG1B+TV1C_GNL_INF,2026,5,9,1,1,0
ATA-TG1B_DIE,2026,5,9,1,1,0
ATA-TG1B_GNL_A,2026,5,9,1,1,0
ATA-TG1B_GNL_B,2026,5,9,1,1,0
