NAME,YEAR,MONTH,DAY,PERIOD,VALUE
SAN_ISIDRO-TG_GNL_A,2026,5,9,1,0
SAN_ISIDRO_2-TG_GNL_B,2026,5,9,1,0
QUINTERO_1A_GNL_B,2026,5,9,1,0
QUINTERO_1B_GNL_B,2026,5,9,1,0
SAN_ISIDRO-TG_GNL_X,2026,5,9,1,0
SAN_ISIDRO-TG_GNL_F,2026,5,9,1,0
SAN_ISIDRO-TG_GNL_E,2026,5,9,1,0
SAN_ISIDRO_2-TG_GN_A,2026,5,9,1,0
SAN_ISIDRO_2-TG_GNL_A,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_B,2026,5,9,1,0
QUINTERO_1A_GN_A,2026,5,9,1,0
QUINTERO_1A_GNL_A,2026,5,9,1,0
QUINTERO_1B_GN_A,2026,5,9,1,0
QUINTERO_1B_GNL_A,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GNL_X,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GNL_F,2026,5,9,1,0
SAN_ISIDRO_2-TG+TV_GNL_E,2026,5,9,1,0
SAN_ISIDRO_2-TG_GNL_X,2026,5,9,1,0
SAN_ISIDRO_2-TG_GNL_F,2026,5,9,1,0
SAN_ISIDRO_2-TG_GNL_E,2026,5,9,1,0
SAN_ISIDRO-TG_GNL_C,2026,5,9,1,0
QUINTERO_1A_GNL_X,2026,5,9,1,0
QUINTERO_1A_GNL_F,2026,5,9,1,0
QUINTERO_1A_GNL_E,2026,5,9,1,0
QUINTERO_1B_GNL_X,2026,5,9,1,0
QUINTERO_1B_GNL_F,2026,5,9,1,0
QUINTERO_1B_GNL_E,2026,5,9,1,0
SAN_ISIDRO-FA_GN_A,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_A,2026,5,9,1,0
SAN_ISIDRO-TG_GNL_D,2026,5,9,1,0
SAN_ISIDRO_2-TG_GNL_C,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_X,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_F,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_E,2026,5,9,1,0
QUINTERO_1A_GNL_C,2026,5,9,1,0
QUINTERO_1B_GNL_C,2026,5,9,1,0
SAN_ISIDRO_2-TG_GNL_D,2026,5,9,1,0
QUINTERO_1A_GNL_D,2026,5,9,1,0
QUINTERO_1B_GNL_D,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_C,2026,5,9,1,0
CANDELARIA_1_GNL_E,2026,5,9,1,0
CANDELARIA_1_GNL_X,2026,5,9,1,0
CANDELARIA_1_GNL_F,2026,5,9,1,0
CANDELARIA_1_GNL_G,2026,5,9,1,0
CANDELARIA_1_GN_A,2026,5,9,1,0
CANDELARIA_1_GNL_B,2026,5,9,1,0
CANDELARIA_1_GNL_C,2026,5,9,1,0
CANDELARIA_1_GNL_D,2026,5,9,1,0
CANDELARIA_1_GNL_A,2026,5,9,1,0
CANDELARIA_2_GNL_E,2026,5,9,1,0
CANDELARIA_2_GNL_X,2026,5,9,1,0
CANDELARIA_2_GNL_F,2026,5,9,1,0
CANDELARIA_2_GNL_G,2026,5,9,1,0
CANDELARIA_2_GN_A,2026,5,9,1,0
CANDELARIA_2_GNL_B,2026,5,9,1,0
CANDELARIA_2_GNL_C,2026,5,9,1,0
CANDELARIA_2_GNL_D,2026,5,9,1,0
CANDELARIA_2_GNL_A,2026,5,9,1,0
NUEVA_RENCA-FA_GNL_P,2026,5,9,1,0
NUEVA_RENCA-FA_GN_A,2026,5,9,1,0
NUEVA_RENCA-FA_GNL_A,2026,5,9,1,0
NUEVA_RENCA-FA_GNL_B,2026,5,9,1,0
NUEVA_RENCA-FA_GNL_INF,2026,5,9,1,0
CMPC_LAJA_BL3,2026,5,9,1,0
CMPC_LAJA_BL4,2026,5,9,1,0
CMPC_LAJA_BL5,2026,5,9,1,0
SAN_ISIDRO-FA_GNL_D,2026,5,9,1,0
NEHUENCO_2-TG+TV_DIE,2026,5,9,1,0
NEHUENCO_1-TG+TV_DIE,2026,5,9,1,0
CEMENTOS_BIOBIO_FO6,2026,5,9,1,0
COLMITO_GNL_A,2026,5,9,1,184.7326751
COLMITO_GNL_B,2026,5,9,1,79.87219394
COLMITO_GN_A,2026,5,9,1,184.7326751
COLMITO_GNL_INF,2026,5,9,1,8.180890083
TALTAL_1_GNL_C,2026,5,9,1,0
TALTAL_2_GNL_C,2026,5,9,1,0
TALTAL_1_GNL_E,2026,5,9,1,0
TALTAL_2_GNL_E,2026,5,9,1,0
LOS_PINOS,2026,5,9,1,717.2554387
TALTAL_1_GN_A,2026,5,9,1,0
TALTAL_2_GN_A,2026,5,9,1,0
TALTAL_1_GNL_B,2026,5,9,1,0
TALTAL_2_GNL_B,2026,5,9,1,0
TALTAL_1_GNL_D,2026,5,9,1,0
TALTAL_2_GNL_D,2026,5,9,1,0
NUEVA_RENCA-TG+TV_DIE,2026,5,9,1,19988.32714
SAN_ISIDRO_2-TG+TV_DIE,2026,5,9,1,0
NEWEN_GNL_A,2026,5,9,1,0
NEWEN_GNL_B,2026,5,9,1,0
NEWEN_GN_A,2026,5,9,1,0
SAN_ISIDRO-TG+TV_DIE,2026,5,9,1,0
VALDIVIA_BL4_PINO,2026,5,9,1,0
