NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
Lagunas220->Collahuasi220,2026,5,9,21,1,183
Lagunas220->Collahuasi220,2026,5,10,9,1,134
Lagunas220->Collahuasi220,2026,5,10,21,1,183
Lagunas220->Collahuasi220,2026,5,11,9,1,134
Lagunas220->Collahuasi220,2026,5,11,21,1,183
Lagunas220->Collahuasi220,2026,5,12,9,1,134
Lagunas220->Collahuasi220,2026,5,12,21,1,183
Lagunas220->Collahuasi220,2026,5,13,9,1,134
Lagunas220->Collahuasi220,2026,5,13,21,1,183
Lagunas220->Collahuasi220,2026,5,14,9,1,134
Lagunas220->Collahuasi220,2026,5,14,21,1,183
Lagunas220->Collahuasi220,2026,5,15,9,1,134
Lagunas220->Collahuasi220,2026,5,15,21,1,183
Lagunas220->NvaVictoria220,2026,5,9,1,1,183
Lagunas220->Tarapaca220,2026,5,9,1,1,262
Lagunillas154->Coronel154,2026,5,9,1,1,188
Lagunillas220->Hualpen220,2026,5,9,1,1,356
Lagunillas220->Lagunillas154,2026,5,9,1,1,390
LaNegra110->AltoNorte110,2026,5,9,1,1,122
Linares154->SJavier066,2026,5,9,1,1,28.6
LoAguirre220->CNavia220,2026,5,9,1,1,1500
LoAguirre500->AJahuel500,2026,5,9,1,1,1660
LoAguirre500->LoAguirre220,2026,5,9,1,1,771.26
LoAguirre500->Polpaico500,2026,5,9,1,1,2078
LoEspejo110->Ochagavia110,2026,5,9,1,1,409.25
LosChangos220->Kapatur220,2026,5,9,1,1,1500
LosChangos500->Cumbres500,2026,5,9,1,1,1500
LosChangos500->Jadresic500,2026,5,9,1,1,1500
Jadresic500->Cumbres500,2026,5,9,1,1,1500
LosChangos500->Kimal500_I,2026,5,9,1,1,980
LosChangos500->Kimal500_II,2026,5,9,1,1,980
LosChangos500->LosChangos220,2026,5,9,1,1,1500
LosNotros220->Charrua220,2026,5,9,1,1,1097
LosNotros220->Cholguan220,2026,5,9,1,1,343
LosNotros220->Mulchen220,2026,5,9,1,1,600
LosNotros220->Trupan220,2026,5,9,1,1,343
LPalmas220->LVilos220,2026,5,9,1,1,500
LVilos220->DonaCarmen220,2026,5,9,1,1,225
LVilos220->Nogales220,2026,5,9,1,1,225
Maitenc110->Cardones110,2026,5,9,1,1,46.67876926
Maitenc110->Huasco110,2026,5,9,1,1,75
Maitenc220->Cardones220,2026,5,9,1,1,840
Maitenc220->DonHector220,2026,5,9,1,1,322
Maitenc220->Maitenc110,2026,5,9,1,1,180
Maitenc220->PColorada220_II,2026,5,9,1,1,500
Malloa154->Tinguiririca154,2026,5,9,1,1,198
Mapal154->Fopaco154,2026,5,9,1,1,188
MariaElena220->Lagunas220,2026,5,9,1,1,183
MariaElena220->NvaVictoria220,2026,5,9,1,1,183
Maule154->Linares154,2026,5,9,1,1,106.6943297
Maule154->SMiguel066,2026,5,9,1,1,153
Mejillones110->Pampa110,2026,5,9,1,1,57
Mejillones220->Mejillones110,2026,5,9,1,1,100
Mejillones220->OHiggins220,2026,5,9,1,1,242
Miraje220->Atacama220,2026,5,9,1,1,366.7
Miraje220->TOEnlace220,2026,5,9,1,1,366.7
MRedondo220->PuntaSierra220,2026,5,9,1,1,285.3369008
Mulchen220->Cautin220,2026,5,9,1,1,457
Nogales220->Polpaico220,2026,5,9,1,1,1500
Nogales220->Quillota220,2026,5,9,1,1,448
Nogales220->Ventanas220,2026,5,9,1,1,680
Norgener220->Barriles220,2026,5,9,1,1,237
Norgener220->LaCruz220,2026,5,9,1,1,237
NvaCardones500->Cardones220,2026,5,9,1,1,930
NvaMaitenc500->Maitenc220,2026,5,9,1,1,750
NvaMaitenc500->NvaCardones500,2026,5,9,1,1,2356
