YEAR,MONTH,DAY,PERIOD,RALCO,PANGUE,ANGOSTURA,CIPRESES,POLCURA,CANUTILLAR,PEHUENCHE,MACHICURA,COLBUN,L_Maule,ELTORO,RAPEL,ENEL_QUINTERO_GNL_INF,COLBUN_QUINTERO_GNL_INF,TAMAKAYA_MEJILLONES_GNL_INF,ENGIE_MEJILLONES_GNL_INF,ENEL_MEJILLONES_GNL_INF,,,,,,,,,,,,,,,,,,,
2026,5,12,18,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,12,19,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,12,20,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,12,21,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,12,22,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,12,23,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,12,24,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,1,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,2,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,3,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,4,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,5,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,6,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,7,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,8,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,9,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,10,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,11,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,12,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2026,5,13,13,13579.7011423611,832.870370370381,1302.747564814,2021.53154819084,12.4906919033599,12330.7696759259,1546.80613888889,204.871761067708,17411.832992866,17600.9865846329,64651.4769675926,6270.75965375738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
